YT IA Link,RT IA Link
https://archive.org/details/youtube-_EcT8iOAl74,https://archive.org/details/roosterteeth-42490
https://archive.org/details/youtube-_eI2siOjy5s,https://archive.org/details/roosterteeth-50044
https://archive.org/details/youtube-_eIeqmgqwmM,https://archive.org/details/roosterteeth-27634
https://archive.org/details/youtube-_EJ84gmFfTc,https://archive.org/details/roosterteeth-40340
https://archive.org/details/youtube-_EjePjIG2BU,https://archive.org/details/roosterteeth-3352
https://archive.org/details/youtube-_EkSULT3pZA,https://archive.org/details/roosterteeth-22294
https://archive.org/details/youtube-_enpBClWohE,https://archive.org/details/roosterteeth-51146
https://archive.org/details/youtube-_evqM10ZE8s,https://archive.org/details/roosterteeth-24573
https://archive.org/details/youtube-_exCo1xSFM8,https://archive.org/details/roosterteeth-47815
https://archive.org/details/youtube-_ExKbcL2MB0,https://archive.org/details/roosterteeth-46807
https://archive.org/details/youtube-_F1D4pPt-YU,https://archive.org/details/roosterteeth-8122
https://archive.org/details/youtube-_FD6Fyn2s0c,https://archive.org/details/roosterteeth-49765
https://archive.org/details/youtube-_fGxvIlSvGs,https://archive.org/details/roosterteeth-50033
https://archive.org/details/youtube-_FLTRenuCTU,https://archive.org/details/roosterteeth-49814
https://archive.org/details/youtube-_FUJdfkAl2U,https://archive.org/details/roosterteeth-37970
https://archive.org/details/youtube-_fUMfX1Lqh8,https://archive.org/details/roosterteeth-20102
https://archive.org/details/youtube-_Gh24DelRJI,https://archive.org/details/roosterteeth-49764
https://archive.org/details/youtube-_Got-jX1VpI,https://archive.org/details/roosterteeth-31662
https://archive.org/details/youtube-_GpKpBr3PwU,https://archive.org/details/roosterteeth-3192
https://archive.org/details/youtube-_HgLY46h2d4,https://archive.org/details/roosterteeth-49616
https://archive.org/details/youtube-_hrA5hyUv0k,https://archive.org/details/roosterteeth-22671
https://archive.org/details/youtube-_hyPif9yhX0,https://archive.org/details/roosterteeth-40155
https://archive.org/details/youtube-_IIjPDAR5dY,https://archive.org/details/roosterteeth-8854
https://archive.org/details/youtube-_Ikn-cX4lrg,https://archive.org/details/roosterteeth-10922
https://archive.org/details/youtube-_IpA-gEDDb0,https://archive.org/details/roosterteeth-36253
https://archive.org/details/youtube-_iW-3PcojP0,https://archive.org/details/roosterteeth-45344
https://archive.org/details/youtube-_iw6HvDizAw,https://archive.org/details/roosterteeth-644
https://archive.org/details/youtube-_j-gVh3T4Ng,https://archive.org/details/roosterteeth-11218
https://archive.org/details/youtube-_JdbpmrwU_Y,https://archive.org/details/roosterteeth-52482
https://archive.org/details/youtube-_jM_moZVh6Q,https://archive.org/details/roosterteeth-28735
https://archive.org/details/youtube-_JnOA9Aih3Y,https://archive.org/details/roosterteeth-22771
https://archive.org/details/youtube-_JqHBphCoI4,https://archive.org/details/roosterteeth-51722
https://archive.org/details/youtube-_JZ4KsNjEzw,https://archive.org/details/roosterteeth-30331
https://archive.org/details/youtube-_k_buxNA1Z8,https://archive.org/details/roosterteeth-52628
https://archive.org/details/youtube-_kDAjuO_PKE,https://archive.org/details/roosterteeth-48806
https://archive.org/details/youtube-_KdEd07NEIQ,https://archive.org/details/roosterteeth-52599
https://archive.org/details/youtube-_KKv0JEt3CU,https://archive.org/details/roosterteeth-17461
https://archive.org/details/youtube-_KkVnW1qYmw,https://archive.org/details/roosterteeth-39694
https://archive.org/details/youtube-_KRMqXzmclc,https://archive.org/details/roosterteeth-52135
https://archive.org/details/youtube-_L3lUBlcKj0,https://archive.org/details/roosterteeth-36235
https://archive.org/details/youtube-_L3QbnLlWaQ,https://archive.org/details/roosterteeth-50702
https://archive.org/details/youtube-_Lajo9NmMjs,https://archive.org/details/roosterteeth-26981
https://archive.org/details/youtube-_Lbdrk4h9vw,https://archive.org/details/roosterteeth-34554
https://archive.org/details/youtube-_Lhr0bYahc8,https://archive.org/details/roosterteeth-22599
https://archive.org/details/youtube-_lwdWOyOIs8,https://archive.org/details/roosterteeth-49590
https://archive.org/details/youtube-_LwfUxKZnOg,https://archive.org/details/roosterteeth-5222
https://archive.org/details/youtube-_LYQ4S5fn9s,https://archive.org/details/roosterteeth-51860
https://archive.org/details/youtube-_mcMdpG21wk,https://archive.org/details/roosterteeth-29679
https://archive.org/details/youtube-_MggEYjB_Rk,https://archive.org/details/roosterteeth-51386
https://archive.org/details/youtube-_n8CPVqenjo,https://archive.org/details/roosterteeth-30423
https://archive.org/details/youtube-_N8g7ltprxI,https://archive.org/details/roosterteeth-49988
https://archive.org/details/youtube-_nCpcKMNPdo,https://archive.org/details/roosterteeth-10742
https://archive.org/details/youtube-_NDvWuJ8_0E,https://archive.org/details/roosterteeth-10255
https://archive.org/details/youtube-_nvUONrdRgU,https://archive.org/details/roosterteeth-674
https://archive.org/details/youtube-_nYqEhSjBlI,https://archive.org/details/roosterteeth-47631
https://archive.org/details/youtube-_O2BhBifqkw,https://archive.org/details/roosterteeth-20759
https://archive.org/details/youtube-_ol26BRp6GE,https://archive.org/details/roosterteeth-34439
https://archive.org/details/youtube-_OZpSYxKC0w,https://archive.org/details/roosterteeth-28133
https://archive.org/details/youtube-_phbqTRBfmM,https://archive.org/details/roosterteeth-19526
https://archive.org/details/youtube-_PL_M_nQ0SU,https://archive.org/details/roosterteeth-22315
https://archive.org/details/youtube-_pLzYVZJ3g0,https://archive.org/details/roosterteeth-36869
https://archive.org/details/youtube-_pmtpJrq808,https://archive.org/details/roosterteeth-20410
https://archive.org/details/youtube-_pnIdwZxleo,https://archive.org/details/roosterteeth-8498
https://archive.org/details/youtube-_ptiqz5WAiY,https://archive.org/details/roosterteeth-3259
https://archive.org/details/youtube-_PVIxv1hTwI,https://archive.org/details/roosterteeth-34118
https://archive.org/details/youtube-_PWsfLY94ps,https://archive.org/details/roosterteeth-46573
https://archive.org/details/youtube-_pXIWJtECdA,https://archive.org/details/roosterteeth-26594
https://archive.org/details/youtube-_PZGqNNgJ40,https://archive.org/details/roosterteeth-32280
https://archive.org/details/youtube-_q_h0MJDNqo,https://archive.org/details/roosterteeth-49816
https://archive.org/details/youtube-_qfrZIvEBRc,https://archive.org/details/roosterteeth-36198
https://archive.org/details/youtube-_qNvPhkOCZE,https://archive.org/details/roosterteeth-39861
https://archive.org/details/youtube-_r9r8JCq3CQ,https://archive.org/details/roosterteeth-23686
https://archive.org/details/youtube-_RAEosT6UMY,https://archive.org/details/roosterteeth-29986
https://archive.org/details/youtube-_RDBU-CWy00,https://archive.org/details/roosterteeth-20319
https://archive.org/details/youtube-_RlP6b4WPfw,https://archive.org/details/roosterteeth-13910
https://archive.org/details/youtube-_RufAKrpKoM,https://archive.org/details/roosterteeth-815
https://archive.org/details/youtube-_Rx8WojX3A8,https://archive.org/details/roosterteeth-42441
https://archive.org/details/youtube-_s4F3hESvcg,https://archive.org/details/roosterteeth-40383
https://archive.org/details/youtube-_s9kZv9kf3I,https://archive.org/details/roosterteeth-35970
https://archive.org/details/youtube-_SENIi6kDZA,https://archive.org/details/roosterteeth-47517
https://archive.org/details/youtube-_ST1DNbVIGQ,https://archive.org/details/roosterteeth-44586
https://archive.org/details/youtube-_sUZNQcJMFI,https://archive.org/details/roosterteeth-902
https://archive.org/details/youtube-_SzGKYkL7Zw,https://archive.org/details/roosterteeth-31887
https://archive.org/details/youtube-_toPyVpTv5Q,https://archive.org/details/roosterteeth-28347
https://archive.org/details/youtube-_TquI42Kh2s,https://archive.org/details/roosterteeth-51073
https://archive.org/details/youtube-_tZdij5s4Jc,https://archive.org/details/roosterteeth-11053
https://archive.org/details/youtube-_ulYRG6LbF8,https://archive.org/details/roosterteeth-52389
https://archive.org/details/youtube-_uyivzPHe2M,https://archive.org/details/roosterteeth-28615
https://archive.org/details/youtube-_v4gBOfe0BM,https://archive.org/details/roosterteeth-27504
https://archive.org/details/youtube-_vMhORSeSj8,https://archive.org/details/roosterteeth-48772
https://archive.org/details/youtube-_VpVNblf-e4,https://archive.org/details/roosterteeth-43165
https://archive.org/details/youtube-_VqhDVh-gLM,https://archive.org/details/roosterteeth-51340
https://archive.org/details/youtube-_vyzPNOACPc,https://archive.org/details/roosterteeth-10481
https://archive.org/details/youtube-_wbcjXODezA,https://archive.org/details/roosterteeth-52600
https://archive.org/details/youtube-_wfnbqVCxaw,https://archive.org/details/roosterteeth-39092
https://archive.org/details/youtube-_wkWYrDmRoo,https://archive.org/details/roosterteeth-43287
https://archive.org/details/youtube-_WSto3E5_LE,https://archive.org/details/roosterteeth-19655
https://archive.org/details/youtube-_WuH8WkBfEs,https://archive.org/details/roosterteeth-26312
https://archive.org/details/youtube-_WWmzsvNp6Y,https://archive.org/details/roosterteeth-26395
https://archive.org/details/youtube-_X06psMZiu8,https://archive.org/details/roosterteeth-27445
https://archive.org/details/youtube-_XDGtGzUjGE,https://archive.org/details/roosterteeth-51326
https://archive.org/details/youtube-_XWYnBYxAdY,https://archive.org/details/roosterteeth-48208
https://archive.org/details/youtube-_Y_oFCDl2EU,https://archive.org/details/roosterteeth-50067
https://archive.org/details/youtube-_Y25vIpjRi0,https://archive.org/details/roosterteeth-10579
https://archive.org/details/youtube-_y4AQEKNyqo,https://archive.org/details/roosterteeth-44122
https://archive.org/details/youtube-_y5RRN3lycY,https://archive.org/details/roosterteeth-40592
https://archive.org/details/youtube-_YEkDsRnMHo,https://archive.org/details/roosterteeth-22904
https://archive.org/details/youtube-_YhCZs-IxmA,https://archive.org/details/roosterteeth-43663
https://archive.org/details/youtube-_yIJUxDHPB4,https://archive.org/details/roosterteeth-41346
https://archive.org/details/youtube-_YwOFGCSo0s,https://archive.org/details/roosterteeth-20763
https://archive.org/details/youtube-_zkBjiAj0Dc,https://archive.org/details/roosterteeth-29275
https://archive.org/details/youtube-_ZMlJll3sJw,https://archive.org/details/roosterteeth-49216
https://archive.org/details/youtube-_znki8MTKDY,https://archive.org/details/roosterteeth-52475
https://archive.org/details/youtube-_ZokEPunBcI,https://archive.org/details/roosterteeth-51676
https://archive.org/details/youtube-_zqMAii4JVA,https://archive.org/details/roosterteeth-13264
https://archive.org/details/youtube-_zrCJ1V76Dc,https://archive.org/details/roosterteeth-20831
https://archive.org/details/youtube-_zScW0jROUI,https://archive.org/details/roosterteeth-804
https://archive.org/details/youtube-_zu-19Tdezg,https://archive.org/details/roosterteeth-7462
https://archive.org/details/youtube--_-o8qOHdRU,https://archive.org/details/roosterteeth-51144
https://archive.org/details/youtube--_59ZNEghyE,https://archive.org/details/roosterteeth-43289
https://archive.org/details/youtube--_dM6L0b4ng,https://archive.org/details/roosterteeth-40650
https://archive.org/details/youtube---BqR-zT5HY,https://archive.org/details/roosterteeth-11198
https://archive.org/details/youtube--0JfrGx-Z_I,https://archive.org/details/roosterteeth-33491
https://archive.org/details/youtube--0sgBZNofzc,https://archive.org/details/roosterteeth-36641
https://archive.org/details/youtube--0tBn5VutFI,https://archive.org/details/roosterteeth-17394
https://archive.org/details/youtube--0VQwvy6uHM,https://archive.org/details/roosterteeth-32857
https://archive.org/details/youtube--101EgjIIRk,https://archive.org/details/roosterteeth-52699
https://archive.org/details/youtube--1cQWMlVjfI,https://archive.org/details/roosterteeth-599
https://archive.org/details/youtube--222KFGlkyM,https://archive.org/details/roosterteeth-27236
https://archive.org/details/youtube--28qm4rx-2c,https://archive.org/details/roosterteeth-33083
https://archive.org/details/youtube--2Go-vJRIcw,https://archive.org/details/roosterteeth-23473
https://archive.org/details/youtube--2mdefaBTec,https://archive.org/details/roosterteeth-27512
https://archive.org/details/youtube--4UtevOQH9g,https://archive.org/details/roosterteeth-34753
https://archive.org/details/youtube--5gvtzAW0SA,https://archive.org/details/roosterteeth-20404
https://archive.org/details/youtube--5miBp0lK2I,https://archive.org/details/roosterteeth-10781
https://archive.org/details/youtube--649bUotgig,https://archive.org/details/roosterteeth-4588
https://archive.org/details/youtube--6CLGoOUil8,https://archive.org/details/roosterteeth-35602
https://archive.org/details/youtube--6I6ZuSax7U,https://archive.org/details/roosterteeth-28938
https://archive.org/details/youtube--6Jzm338WZ8,https://archive.org/details/roosterteeth-51334
https://archive.org/details/youtube--6nWHlynUco,https://archive.org/details/roosterteeth-17908
https://archive.org/details/youtube--6r-mkfYX_8,https://archive.org/details/roosterteeth-10321
https://archive.org/details/youtube--6yE7iKUh-s,https://archive.org/details/roosterteeth-17477
https://archive.org/details/youtube--73PGJkNbVc,https://archive.org/details/roosterteeth-26400
https://archive.org/details/youtube--7AE1HZnKtk,https://archive.org/details/roosterteeth-31890
https://archive.org/details/youtube--7u9Uuz_iUU,https://archive.org/details/roosterteeth-44263
https://archive.org/details/youtube--83ONgF9oa4,https://archive.org/details/roosterteeth-13901
https://archive.org/details/youtube--86NTG1Cxiw,https://archive.org/details/roosterteeth-43379
https://archive.org/details/youtube--8JG-5ANodA,https://archive.org/details/roosterteeth-18773
https://archive.org/details/youtube--8uc0c7BxR0,https://archive.org/details/roosterteeth-40310
https://archive.org/details/youtube--8WLUFww8Nw,https://archive.org/details/roosterteeth-42032
https://archive.org/details/youtube--9fqg93khT4,https://archive.org/details/roosterteeth-50608
https://archive.org/details/youtube--a1iQxg6n2w,https://archive.org/details/roosterteeth-28434
https://archive.org/details/youtube--a7AshX5uZ4,https://archive.org/details/roosterteeth-51750
https://archive.org/details/youtube--aBJcO_HN2A,https://archive.org/details/roosterteeth-11791
https://archive.org/details/youtube--Ap8aMMfplQ,https://archive.org/details/roosterteeth-10332
https://archive.org/details/youtube--axyMhKkmMU,https://archive.org/details/roosterteeth-27924
https://archive.org/details/youtube--B_ZpoGZQ1I,https://archive.org/details/roosterteeth-33566
https://archive.org/details/youtube--barZfy67GU,https://archive.org/details/roosterteeth-10314
https://archive.org/details/youtube--Bf49KHZ7hA,https://archive.org/details/roosterteeth-10506
https://archive.org/details/youtube--Bi4fuBIOcM,https://archive.org/details/roosterteeth-28151
https://archive.org/details/youtube--BNYBcXbDp8,https://archive.org/details/roosterteeth-51934
https://archive.org/details/youtube--bUMGfs6sgg,https://archive.org/details/roosterteeth-10566
https://archive.org/details/youtube--buqZpV4Eeo,https://archive.org/details/roosterteeth-45603
https://archive.org/details/youtube--bvr3v1p530,https://archive.org/details/roosterteeth-51547
https://archive.org/details/youtube--CPImfxWkKw,https://archive.org/details/roosterteeth-32530
https://archive.org/details/youtube--cuwYcyXtOg,https://archive.org/details/roosterteeth-28566
https://archive.org/details/youtube--D7fNr4K7eA,https://archive.org/details/roosterteeth-33563
https://archive.org/details/youtube--DbCB8freZs,https://archive.org/details/roosterteeth-14344
https://archive.org/details/youtube--dfhjof21No,https://archive.org/details/roosterteeth-24987
https://archive.org/details/youtube--DP_wa4i2FY,https://archive.org/details/roosterteeth-30351
https://archive.org/details/youtube--dR3226J2CI,https://archive.org/details/roosterteeth-33828
https://archive.org/details/youtube--DSUAjYOpJk,https://archive.org/details/roosterteeth-33491
https://archive.org/details/youtube--dU_4lrTqJ0,https://archive.org/details/roosterteeth-8517
https://archive.org/details/youtube--Dv8G18hkjI,https://archive.org/details/roosterteeth-51312
https://archive.org/details/youtube--dxvNVrdZZc,https://archive.org/details/roosterteeth-39744
https://archive.org/details/youtube--DzmtdulmsA,https://archive.org/details/roosterteeth-22785
https://archive.org/details/youtube--e9nSY6lpKM,https://archive.org/details/roosterteeth-10755
https://archive.org/details/youtube--ebGBW1Gcyg,https://archive.org/details/roosterteeth-1221-bonus
https://archive.org/details/youtube--EWEHsC2MCA,https://archive.org/details/roosterteeth-48090
https://archive.org/details/youtube--FHLNkCjskM,https://archive.org/details/roosterteeth-23537
https://archive.org/details/youtube--FK-zpNn_iQ,https://archive.org/details/roosterteeth-39831
https://archive.org/details/youtube--FtB-OSHlGo,https://archive.org/details/roosterteeth-17826
https://archive.org/details/youtube--FvGANkqMmQ,https://archive.org/details/roosterteeth-41943
https://archive.org/details/youtube--G-U-ExykAk,https://archive.org/details/roosterteeth-40920
https://archive.org/details/youtube--G8MzpQjpqU,https://archive.org/details/roosterteeth-10445
https://archive.org/details/youtube--H_WQ4c2zCM,https://archive.org/details/roosterteeth-8635
https://archive.org/details/youtube--H29Z5W_mBQ,https://archive.org/details/roosterteeth-28850
https://archive.org/details/youtube--hh_ng0WQzc,https://archive.org/details/roosterteeth-51081
https://archive.org/details/youtube--hkAYaccOpA,https://archive.org/details/roosterteeth-9012
https://archive.org/details/youtube--HmsSNFUH-U,https://archive.org/details/roosterteeth-28787
